,source_station_id,target_station_id,route_id,x_source,y_source,x_target,y_target,lon_source,lat_source,lon_target,lat_target,direction
64,place-qamnl,place-brntn,red-b,228.49242409,19.497474619999995,228.49242409,9.497474619999997,-71.007153,42.233391,-71.007153,42.233391,0
15,place-qamnl,place-qnctr,red-b,228.49242409,19.497474619999995,221.42135626,26.56854242,-71.007153,42.233391,-71.007153,42.233391,1
76,place-qnctr,place-qamnl,red-b,221.42135626,26.56854242,228.49242409,19.497474619999995,-71.005409,42.251809,-71.005409,42.251809,0
16,place-qnctr,place-wlsta,red-b,221.42135626,26.56854242,214.35028844,33.639610219999994,-71.005409,42.251809,-71.005409,42.251809,1
77,place-wlsta,place-qnctr,red-b,214.35028844,33.639610219999994,221.42135626,26.56854242,-71.020337,42.266514,-71.020337,42.266514,0
20,place-wlsta,place-nqncy,red-b,214.35028844,33.639610219999994,207.27922063,40.71067811999999,-71.020337,42.266514,-71.020337,42.266514,1
81,place-nqncy,place-wlsta,red-b,207.27922063,40.71067811999999,214.35028844,33.639610219999994,-71.029583,42.275275,-71.029583,42.275275,0
12,place-nqncy,place-jfk,red-b,207.27922063,40.71067811999999,200.20815282,47.78174591999999,-71.029583,42.275275,-71.029583,42.275275,1
73,place-jfk,place-nqncy,red-b,200.20815282,47.78174591999999,207.27922063,40.71067811999999,-71.052391,42.320685,-71.052391,42.320685,0
10,place-jfk,place-andrw,red-b,200.20815282,47.78174591999999,200.20815282,57.78174591999999,-71.052391,42.320685,-71.052391,42.320685,1
71,place-andrw,place-jfk,red-b,200.20815282,57.78174591999999,200.20815282,47.78174591999999,-71.057655,42.330154,-71.057655,42.330154,0
0,place-andrw,place-brdwy,red-b,200.20815282,57.78174591999999,200.20815282,67.78174587999999,-71.057655,42.330154,-71.057655,42.330154,1
61,place-brdwy,place-andrw,red-b,200.20815282,67.78174587999999,200.20815282,57.78174591999999,-71.056967,42.342622,-71.056967,42.342622,0
2,place-brdwy,place-sstat,red-b,200.20815282,67.78174587999999,200.20815282,77.78174587999999,-71.056967,42.342622,-71.056967,42.342622,1
63,place-sstat,place-brdwy,red-b,200.20815282,77.78174587999999,200.20815282,67.78174587999999,-71.055242,42.352271,-71.055242,42.352271,0
19,place-sstat,place-dwnxg,red-b,200.20815282,77.78174587999999,193.13708501,84.85281369999998,-71.055242,42.352271,-71.055242,42.352271,1
80,place-dwnxg,place-sstat,red-b,193.13708501,84.85281369999998,200.20815282,77.78174587999999,-71.060225,42.355518,-71.060225,42.355518,0
7,place-dwnxg,place-pktrm,red-b,193.13708501,84.85281369999998,186.0660172,91.92388151,-71.060225,42.355518,-71.060225,42.355518,1
68,place-pktrm,place-dwnxg,red-b,186.0660172,91.92388151,193.13708501,84.85281369999998,-71.062424,42.356395,-71.062424,42.356395,0
13,place-pktrm,place-chmnl,red-b,186.0660172,91.92388151,178.99494938000004,98.99494932,-71.062424,42.356395,-71.062424,42.356395,1
74,place-chmnl,place-pktrm,red-b,178.99494938000004,98.99494932,186.0660172,91.92388151,-71.070628,42.361166,-71.070628,42.361166,0
4,place-chmnl,place-knncl,red-b,178.99494938000004,98.99494932,171.92388157000005,106.06601713,-71.070628,42.361166,-71.070628,42.361166,1
65,place-knncl,place-chmnl,red-b,171.92388157000005,106.06601713,178.99494938000004,98.99494932,-71.086176,42.362491,-71.086176,42.362491,0
11,place-knncl,place-cntsq,red-b,171.92388157000005,106.06601713,164.85281376000003,113.13708494,-71.086176,42.362491,-71.086176,42.362491,1
72,place-cntsq,place-knncl,red-b,164.85281376000003,113.13708494,171.92388157000005,106.06601713,-71.103802,42.365486,-71.103802,42.365486,0
5,place-cntsq,place-harsq,red-b,164.85281376000003,113.13708494,157.78174595000002,120.20815276,-71.103802,42.365486,-71.103802,42.365486,1
66,place-harsq,place-cntsq,red-b,157.78174595000002,120.20815276,164.85281376000003,113.13708494,-71.118956,42.373362,-71.118956,42.373362,0
9,place-harsq,place-portr,red-b,157.78174595000002,120.20815276,150.71067814000003,127.27922057,-71.118956,42.373362,-71.118956,42.373362,1
70,place-portr,place-harsq,red-b,150.71067814000003,127.27922057,157.78174595000002,120.20815276,-71.119149,42.3884,-71.119149,42.3884,0
14,place-portr,place-davis,red-b,150.71067814000003,127.27922057,140.71067814000003,127.27922057,-71.119149,42.3884,-71.119149,42.3884,1
75,place-davis,place-portr,red-b,140.71067814000003,127.27922057,150.71067814000003,127.27922057,-71.121815,42.39674,-71.121815,42.39674,0
6,place-davis,place-alfcl,red-b,140.71067814000003,127.27922057,130.710678137,127.27922057,-71.121815,42.39674,-71.121815,42.39674,1
